English	Foreign	Transliteration	Context
Friday	शुक्रवार	shukravaar	
September	सितंबर	sitanbar	
October	अक्टूबर	akṭuubar	
November	नवंबर	navanbar	
Sunday	रविवार	ravivaar	
December	दिसंबर	disanbar	
August	अगस्त	agast	
weather; season; seasons; climate; the weather	मौसम	mausam	
hot; heat; summer	गर्मी	garmii	
winters; winter; colds	सर्दी	sardii	
winter; cold	ठंड	ṭhanṛ	
feel; feels	लगती	lagatii	
wears; wear	पहनता	pahanataa	
shoe	जूता	juutaa	
umbrella	छाता	chhaataa	
socks; sock	जुराब	juraab	
clothes; the clothes	कपड़े	kapaṛe	
wear	पहनो	pahano	
pants; trousers; the pants	पतलून	pataluun	
shirt; shirts	क़मीज़	kmiij	
aunt	चाची	chaachii	
uncle	चाचा	chaachaa	
siblings; the siblings	भाई-बहन	bhaaii-bahan	
family	परिवार	parivaar	
parents	माता-पिता	maataa-pitaa	
love	प्यार	pyaar	
uncle (mother's brother); uncle	मामा	maamaa	
aunt; (mother's brother's wife)	मामी	maamii	
wife	पत्नी	patnii	
husband	पति	pati	
uncle	मौसा	mausaa	
the relation; relation; relationship; relation between	रिश्ता	rishtaa	
aunt	मौसी	mausii	
relative	रिश्तेदार	rishtedaar	
uncle	फूफा	phuuphaa	
neighbour; neighbor; neighbors; neighbours	पड़ोसी	paṛosii	
aunt (father's sister); aunt	बुआ	buaa	
dessert; sweet; sweeter	मीठा	miiṭhaa	
salty	नमकीन	namakiin	
Chinese; the sugar; sugar	चीनी	chiinii	
oil	तेल	tel	
salt; the salt	नमक	namak	
spoons of; spoons; the spoon; spoon of; teaspoon; spoon; the spoons; teaspoons	चम्मच	chammach	
glass; glass of; glasses; the glasses; glasses of	गिलास	gilaas	
knife	चाकू	chaakuu	
bottle	बोतल	botal	
thirsty	प्यासा	pyaasaa	
hungry	भूखा	bhuukhaa	
vegetarian	शाकाहारी	shaakaahaarii	
non-vegetarian	माँसाहारी	maansaahaarii	
had; were; there were; was; did	थीं	thiin	
used to; there was; want; were; it was; did; had; have; was; belonged	थी	thii	
did; had; used to; were; there were; was; have	थे	the	
there was; did; had; have; was there; was; belonged	था	thaa	
earlier; previously; ago; first; before; 1st	पहले	pahale	
plant	पौधा	paudhaa	
leaf	पत्ता	pattaa	
fragrance	ख़ुशबू	khushabuu	
tree	पेड़	peṛ	
flower	फूल	phuul	
star	तारा	taaraa	
sun; the sun	सूरज	suuraj	
moon	चाँद	chaand	
sky	आसमान	aasamaan	
fire	आग	aag	
lake; pond	तालाब	taalaab	
cloud	बादल	baadal	
air; wind; breeze; the air	हवा	havaa	
cry; cries	रोती	rotii	
laughing	हँस रहा	hans rahaa	
crying	रो रही	ro rahii	
laugh; laughs	हँसता	hansataa	
speaking with; talk; matter; thing; speak	बात	baat	
listens; hears; hear; listen; listens to	सुनता	sunataa	
saying	कह रहे	kah rahe	
say; says	कहते	kahate	
listen; hear; listen to	सुनो	suno	
ki; that; (as in "ki"ll)	कि	ki	
talking; speaking; telling	बोल रहे	bol rahe	
speak; talks; talk; say; says; speaks	बोलते	bolate	
any; nobody; someone; anybody	कोई	koii	
Hindi	हिंदी	hindii	
English	अँग्रेज़ी	angrejii	
the song; song; singing	गाना	gaanaa	
knows; knew; known; know	जानते	jaanate	
both of; both; both of them; the two; them	दोनों	donon	
where; whom; who; what; which	किस	kis	
all; everybody; everything; everyone; all of	सब	sab	
so	इसलिये	isaliye	
but	लेकिन	lekin	
because	क्योंकि	kyonki	
might; maybe; probably; perhaps	शायद	shaayad	
then; so; if	तो	to	
if	अगर	agar	
someone; somebody; at any price; either	किसी	kisii	
need to get; to go to; to go; go; leave; known; to get to; to	जाना	jaanaa	
come to; come; to come	आना	aanaa	
to meet; meet	मिलना	milanaa	
want; have to do; to do; do; to; have; to do it; redo; respecting	करना	karanaa	
study; read; to study; to read; do read	पढ़ना	paṛnaa	
playing; to play; play	खेलना	khelanaa	
sleep; to sleep; sleeping; gold; the gold; have to sleep	सोना	sonaa	
drink; to drink; drinking; have; to have	पीना	piinaa	
want; likes	चाहता	chaahataa	
like; want; likes	चाहते	chaahate	
want	चाहती	chaahatii	
study; studying; read	पढ़	paṛ	
can; may	सकती	sakatii	
sing	गा	gaa	
can; could	सकता	sakataa	
sleep; slept	सो	so	
go to; go; leave; get to	जा	jaa	
talk; speak	बोल	bol	
fly; flown	उड़	uṛ	
could; can	सकते	sakate	
swim	तैर	tair	
food; eating; the food; lunch; meal; have; dinner; to eat; eat; dinners; supper	खाने	khaane	
to meet; meet; see	मिलने	milane	
study; to study; read; to read	पढ़ने	paṛne	
sleep; gold; to sleep; sleeping	सोने	sone	
playing; to play; play	खेलने	khelane	
came (f.); arrived (f.); come	आयी	aayii	
went to; left; went; gone	गया	gayaa	
come; arrived; came	आया	aayaa	
came; come	आये	aaye	
did go; go; gone; went	गयी	gayii	
go; gone; went	गये	gaye	
did; has; have	ने	ne	
drink; drank; did drink	पिया	piyaa	
eat; have; ate; had; did eat	खाया	khaayaa	
did drink; drink; have; drank	पी	pii	
ate; eat	खाये	khaaye	
written; write; wrote; spelled	लिखा	likhaa	
played; did play	खेला	khelaa	
read; studied	पढ़ा	paṛaa	
saw; looked; watched; see; looked at; look; watch; noticed	देखा	dekhaa	
