ear	귀	-	
piano	피아노	-	
stand; west; in	서	-	
rain	비	-	
trip	여행	-	
sorry	죄송해요	-	
taxi	택시	-	
Thailand	태국	-	
museum	박물관	-	
hike	등산	-	
appointment; promises; your promise; promise; appointments	약속	-	
sleep	잠	-	
body	몸	-	
venue	장소	-	
lazier	게으르다	-	
break	고장나다	-	
meeting	회의	-	
elevator	엘리베이터	-	
time	때	-	
elementary school	초등학교	-	
Korean restaurant	한식당	-	
long time	오랜만	-	
just now	방금	-	
menu	메뉴판	-	
bibimbap	비빔밥	-	
ordering	시키다	-	
kimchi stew	김치찌개	-	
will eat well	잘 먹겠습니다	-	
a little while ago	아까	-	
prepared	드리다	-	
receipt	영수증	-	
chopsticks	젓가락	-	
is; am; are; was	이다	-	
thank you for the meal	잘 먹었습니다	-	
dessert	디저트	-	
quickly	빨리	-	
beware	조심하다	-	
aunt	아주머니	-	
Oh no	어떡해요	-	
calls; dialed	전화하다	-	
email	이메일	-	
younger brother	남동생	-	
to fall	넘어지다	-	
hand	손	-	
bandage; aids	반창고	-	
explains; explained; describe	설명하다	-	
concerns	걱정하다	-	
text message	문자	-	
foot	발	-	
get better; heals	낫다	-	
all	다	-	
worry	걱정	-	
unnecessary	필요 없어요	-	
arise	생기다	-	
PC bang	피씨방	-	
already	벌써	-	
spoon	숟가락	-	
jajangmyeon	짜장면	-	
service	서비스	-	
happy	기쁘다	-	
beat; wins; beats; defeating	이기다	-	
level	레벨	-	
count; counting	세다	-	
picks; picking; choosing	고르다	-	
switching; change; switch	바꾸다	-	
character	캐릭터	-	
extinguish; put out	끄다	-	
aunt	이모	-	
light	불	-	
time; si (sound); si; at; poetry; o'clock; city; poems	시	-	
Olympics	올림픽	-	
this time	이번	-	
French; France	프랑스	-	
fast; is fast	빠르다	-	
ten	열	-	
now	지금	-	
thirty	반	-	
run	달리기	-	
two	둘	-	
practice	연습	-	
basketball	농구	-	
Japan	일본	-	
twelve	열둘	-	
table tennis	탁구	-	
Indonesia	인도네시아	-	
four	넷	-	
ends; finished; finish	끝나다	-	
departure	출발	-	
check in	체크인	-	
exam	시험	-	
which	어느	-	
foreign language	외국어	-	
color	색	-	
notebook	공책	-	
spoken; speaks; speak; talks; saying; say; speaking; telling	말하다	-	
first	일	-	
chair	의자	-	
building	건물	-	
thing	것	-	
glasses	안경	-	
pencil case	필통	-	
pencil	연필	-	
word	단어	-	
more	더	-	
yesterday	어제	-	
samgyetang	삼계탕	-	
to blow	불다	-	
this year	올해	-	
wind	바람	-	
umbrella	우산	-	
afternoon	오후	-	
autumn	가을	-	
less	덜	-	
last year	작년	-	
looks	보이다	-	
animal	동물	-	
winter	겨울	-	
these days	요즘	-	
cold	감기	-	
sky	하늘	-	
long; is long	길다	-	
Namdaemun	남대문	-	
most	제일	-	
chef	요리사	-	
that	그	-	
bulgogi	불고기	-	
young	어리다	-	
through; among; over; during; on	중에	-	
high school student	고등학생	-	
ski	스키	-	
actress	여자 배우	-	
Canada; Canadian	캐나다	-	
play	연극	-	
foreigner	외국인	-	
Of course	그럼요	-	
summer	여름	-	
season	계절	-	
watermelon	수박	-	
ice	아이스	-	
Americano	아메리카노	-	
lunchbox	도시락	-	
dawn	새벽	-	
late-night snack	야식	-	
egg	계란	-	
triangle kimbap	삼각 김밥	-	
fork	포크	-	
sausage	소시지	-	
microwave	전자레인지	-	
mix; mixing	섞다	-	
banana milk	바나나 우유	-	
straw	빨대	-	
bench	벤치	-	
potato chips	감자칩	-	
cream bread	크림빵	-	
plastic	플라스틱	-	
yogurt	요구르트	-	
front	앞	-	
package	택배	-	
is important; important; are important	중요하다	-	
behind	뒤	-	
zoo	동물원	-	
phone number	전화번호	-	
counter	카운터	-	
name	성함	-	
what is; What is; what is your	어떻게 되세요	-	
truck	트럭	-	
next to	옆	-	
tracking number	추적 번호	-	
location	위치	-	
contact; contacting	연락하다	-	
arrive; arrived; arriving	도착하다	-	
finally	드디어	-	
husband	남편	-	
dining table	식탁	-	
sink	싱크대	-	
rest	쉬다	-	
completely	푹	-	
vase	꽃병	-	
garden	정원	-	
fish	생선	-	
diary	일기	-	
news	뉴스	-	
wife	아내	-	
dancing	춤추다	-	
together	함께	-	
happily	즐겁게	-	
arm	팔	-	
mainly	주로	-	
equally	똑같이	-	
Sunday	일요일	-	
take a nap	낮잠을 자요	-	
Friday night	불금	-	
weekend	주말	-	
completely	완전히	-	
sing	노래하다	-	
like	갈래요	-	
band	밴드	-	
gets; won; gain; gotten	얻다	-	
to listen; listen	듣다	-	
guitar	기타	-	
sound	소리	-	
speaker	스피커	-	
bright	밝다	-	
excellent; great	훌륭하다	-	
street	거리	-	
Han River	한강	-	
girlfriend	여자 친구	-	
star	별	-	
be full	배부르다	-	
indeed	역시	-	
coupon	쿠폰	-	
sashimi restaurant	횟집	-	
word; story; stories; tale	이야기	-	
and; with; play; do; have; doing; throw; having	하고	-	
in the past	예전	-	
first	처음	-	
each other	서로	-	
different; is different	다르다	-	
wedding	결혼식	-	
brown	갈색	-	
suit	양복	-	
lives; lived	살다	-	
happy; is happy	행복하다	-	
earned; earn; earns	벌다	-	
grows; raise; raising	키우다	-	
dog	개	-	
is special; precious	소중하다	-	
believes; believe; believing	믿다	-	
first love	첫사랑	-	
bracelet	팔찌	-	
dress	드레스	-	
long	오래	-	
change; to change	갈다	-	
ashamed	부끄럽다	-	
consistently	꾸준히	-	
letter	편지	-	
bouquet	부케	-	
collects; collect	모으다	-	
everyone	모두	-	
housework	집안일	-	
Review	복습하다	-	
prepared	준비하다	-	
eraser	지우개	-	
history	역사	-	
folder	폴더	-	
rag	걸레	-	
broom	빗자루	-	
neat	깔끔하게	-	
rubber gloves	고무 장갑	-	
rice	쌀	-	
side dish	반찬	-	
cold	차갑다	-	
soda	소다	-	
ice	얼음	-	
awesome	대박	-	
repeatedly	자꾸	-	
early	일찍	-	
seven	일곱	-	
yoga	요가	-	
nine	아홉	-	
morning	오전	-	
math	수학	-	
soon	곧	-	
lunch	점심	-	
Wait a minute	잠깐만요	-	
one	한	-	
meeting	모임	-	
miss; missed	놓치다	-	
already	이미	-	
three	세	-	
last	마지막	-	
performance	공연	-	
eight	여덟	-	
evening	저녁	-	
arrive	도착	-	
ten	십	-	
minute	분	-	
commute	출근	-	
twenty	이십	-	
day	하루	-	
day; daytime	낮	-	
presentation	발표	-	
fits	맞다	-	
content	내용	-	
again	다시	-	
five	오	-	
after	후	-	
late	지각	-	
suddenly	갑자기	-	
fifty	오십	-	
preparation	준비	-	
make	내다	-	
end of work	퇴근	-	
forty	사십	-	
work	수고	-	
Central America	중미	-	
from	부터	-	
years; the year; year; years of work experience	년	-	
studies; learn	배우다	-	
Panama	파나마	-	
country	나라	-	
Spanish	스페인어	-	
until; to; by; till	까지	-	
begins; begin	시작하다	-	
language	언어	-	
August	팔월	-	
month	월	-	
choose; chosen; select; choosing	선택하다	-	
July	칠월	-	
vacation	방학	-	
seven	칠	-	
next year	내년	-	
luggage	짐	-	
helps; help	돕다	-	
master bedroom	안방	-	
tidy	정리	-	
wardrobe	옷장	-	
lying; lay	눕다	-	
collects	줍다	-	
trash	쓰레기	-	
beautiful; is beautiful	곱다	-	
abandon	버리다	-	
dress	원피스	-	
color	색깔	-	
cute; is cute; pretty; are cute	귀엽다	-	
ask	물어보다	-	
yellow	노란색	-	
four	사	-	
extremely	엄청	-	
dirty; not clean	더럽다	-	
anything	아무것	-	
calculate	계산	-	
severe	심하다	-	
product	상품	-	
which; what; what's	무슨	-	
problem	문제	-	
blouse	블라우스	-	
shape	모양	-	
button	단추	-	
thoroughly	자세히	-	
how	얼마나	-	
is new; new	새롭다	-	
Exchange	교환하다	-	
shopping mall	쇼핑몰	-	
short	짧다	-	
wishing	원하다	-	
pink	분홍색	-	
size	사이즈	-	
just	그냥	-	
very	참	-	
what a relief	다행이에요	-	
free	무료	-	
grabbing	잡다	-	
possibly	혹시	-	
driver	기사님	-	
lost	잃다	-	
sightseeing	구경하다	-	
city hall	시청	-	
excuse me	저기요	-	
fifteen	십오	-	
six	육	-	
later	이따가	-	
theater	극장	-	
ticket booth	매표소	-	
grill; bake; grilling	굽다	-	
about; About	쯤	-	
restaurant	고깃집	-	
